question,answer,points
"Most famous Indian FMCG brands","Amul",24
"Most famous Indian FMCG brands","Parle-G",20
"Most famous Indian FMCG brands","Britannia",16
"Most famous Indian FMCG brands","Dabur",12
"Most famous Indian FMCG brands","Patanjali",10
"Most famous Indian FMCG brands","Nestle India (Maggi)",8
"Most famous Indian FMCG brands","ITC",6
"Most famous Indian FMCG brands","Colgate",2
"Most famous Indian FMCG brands","Nirma",1
"Most famous Indian FMCG brands","Haldiram's",1
"Your next question goes here","Highest-points answer (revealed first)",20
"Your next question goes here","Second answer",14
"Your next question goes here","Third answer",10
"Your next question goes here","Fourth answer",6
"Your next question goes here","Fifth answer",2
